a52dec 0.7.4-8
aalib 1.4rc5-10
ack 2.12-1
acl 2.2.52-2
alsa-firmware 1.0.27-2
alsa-lib 1.0.27.2-1
alsa-plugins 1.0.27-2
alsa-utils 1.0.27.2-1
apr 1.5.1-1
apr-util 1.5.3-4
arandr 0.1.7.1-2
archey 20130324-7
archlinux-keyring 20140220-1
asciidoc 8.6.9-1
aspell 0.60.6.1-1
at-spi2-atk 2.12.1-1
at-spi2-core 2.12.0-1
ati-dri 10.1.4-1
atk 2.12.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-1
automake 1.14.1-1
avahi 0.6.31-12
awesome 3.5.5-1
babl 0.1.10-1
bash 4.3.018-1
binutils 2.24-4
bison 3.0.2-1
boost-libs 1.55.0-6
bzip2 1.0.6-5
ca-certificates 20140325-1
cairo 1.12.16-2
cairomm 1.10.0-3
cdparanoia 10.2-5
celt 0.11.3-2
chromaprint 1.1-1
chromium 35.0.1916.114-1
chromium-pepper-flash 13.0.0.214-2
cifs-utils 6.2-1
clang 3.4.1-2
clementine 1.2.3-1
cloog 0.18.1-2
clucene 2.3.3.4-8
cmake 2.8.12.2-2
colord 1.2.0-1
compositeproto 0.4.2-2
compton 0.1_beta2-4
conky 1.9.0-4
coreutils 8.22-4
cpio 2.11-4
cracklib 2.9.0-2
cronie 1.4.11-2
cryptsetup 1.6.4-1
curl 7.37.0-1
damageproto 1.2.1-2
db 5.3.28-1
dbus 1.8.2-1
dbus-glib 0.102-1
dconf 0.20.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.106-2
dhclient 4.3.0-1
dhcpcd 6.3.2-1
dialog 1:1.2_20140219-1
diffutils 3.3-1
dirmngr 1.1.1-2
djvulibre 3.5.25.3-1
dkms 2.2.0.3-14
dmxproto 2.3.1-2
dnssec-anchors 20130320-1
docbook-xml 4.5-5
docbook-xsl 1.78.1-1
dotconf 1.3-4
e2fsprogs 1.42.10-1
elfutils 0.158-3
enca 1.15-1
enchant 1.6.0-4
evince 3.12.1-1
exfat-utils 1.0.1-1
exiv2 0.24-1
exo 0.10.2-2
expat 2.1.0-3
faac 1.28-5
faad2 2.7-4
fakeroot 1.20-1
ffmpeg 1:2.2.3-1
fftw 3.3.4-1
file 5.18-1
filesystem 2013.05-2
findutils 4.4.2-5
firefox 29.0.1-2
fixesproto 5.0-2
flac 1.3.0-2
flex 2.5.39-1
font-misc-ethiopic 1.0.3-1
fontconfig 2.11.1-1
fontsproto 2.1.3-1
freetype2 2.5.3-2
fribidi 0.19.6-1
fuse 2.9.3-2
fuse-exfat 1.0.1-1
gamin 0.1.10-8
gawk 4.1.1-1
gc 7.4.0-3
gcc 4.9.0-3
gcc-libs 4.9.0-3
gconf 3.2.6-3
gcr 3.12.2-1
gdbm 1.11-1
gdk-pixbuf2 2.30.8-1
geany 1.24.1-1
gedit 3.12.2-1
gegl 0.2.0-11
geoclue 0.12.99-1
gettext 0.18.3.2-1
ghostscript 9.14-1
giflib 5.0.6-1
gimp 2.8.10-1
git 2.0.0-1
glamor-egl 0.6.0-1
glew 1.10.0-2
glib-networking 2.40.1-1
glib2 2.40.0-1
glibc 2.19-5
glibmm 2.40.0-1
glu 9.0.0-2
gmp 6.0.0-1
gnome-alsamixer 0.9.7-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-2
gnome-keyring 3.12.2-1
gnome-mime-data 2.18.0-6
gnome-screenshot 3.12.0-1
gnome-vfs 2.24.4-8
gnupg 2.0.22-2
